OB(O)c1cc(Cl)cc(OCc2ccccc2)c1 ZINC000169934077
CCOc1cc(OC(F)(F)F)cc(B(O)O)c1 ZINC000169934153
OB(O)c1ccc(F)c2c1OCO2 ZINC000169934169
OB(O)c1cc(OCc2ccccc2)cc(OC(F)(F)F)c1 ZINC000169934181
CCCCOc1cc(OC(F)(F)F)cc(B(O)O)c1 ZINC000169934186
CC(C)Oc1cc(OC(F)(F)F)cc(B(O)O)c1 ZINC000169934212
CCCOc1cc(OC(F)(F)F)cc(B(O)O)c1 ZINC000169934216
CC(C)COc1cc(OC(F)(F)F)cc(B(O)O)c1 ZINC000169934221
OB(O)c1cc(OC2CCCC2)cc(OC(F)(F)F)c1 ZINC000169934226
CCOc1cc(C)cc(B(O)O)c1 ZINC000169934231
CCCOc1cc(C)cc(B(O)O)c1 ZINC000169934236
Cc1cc(OC2CCCC2)cc(B(O)O)c1 ZINC000169934240
CCOc1c(Cl)ccc(B(O)O)c1F ZINC000169934270
CC(C)Oc1c(Cl)ccc(B(O)O)c1F ZINC000169934275
CCCOc1c(Cl)ccc(B(O)O)c1F ZINC000169934279
CCCCOc1c(Cl)ccc(B(O)O)c1F ZINC000169934283
COCCOc1c(Cl)ccc(B(O)O)c1F ZINC000169934287
OB(O)c1ccc(Cl)c(OCc2ccccc2)c1F ZINC000169934293
CCCOc1cc(B(O)O)ccc1Cl ZINC000169934350
CCCCOc1cc(B(O)O)ccc1Cl ZINC000169934355
CC(C)COc1cc(B(O)O)ccc1Cl ZINC000169934358
COc1cccc(B(O)O)c1C(=O)O ZINC000169934367
COCCOc1cc(B(O)O)ccc1Cl ZINC000169934514
CN(C)CCOc1cc(B(O)O)ccc1Cl ZINC000169934518
OB(O)c1cccc(OCCF)c1 ZINC000169934622
CCCOc1cc(OC)cc(B(O)O)c1 ZINC000169934632
CCCCOc1cc(OC)cc(B(O)O)c1 ZINC000169934636
OB(O)c1cc(Br)cc(OCc2ccccc2)c1 ZINC000169934680
CCCCCOc1cc(OC(F)(F)F)cc(B(O)O)c1 ZINC000169934685
CC(C)(C)OC(=O)N1CCC(COc2cc(Br)cc(B(O)O)c2)CC1 ZINC000169934710
CCCOc1nccc(B(O)O)c1Cl ZINC000169934757
CCCCOc1nccc(B(O)O)c1Cl ZINC000169934763
COC(=O)c1c(OC)cccc1B(O)O ZINC000169935136
COC(=O)COc1cccc(B(O)O)c1 ZINC000169935208
Cc1cc(OCc2ccccc2)cc(B(O)O)c1 ZINC000169935253
OB(O)c1ccnc(OCc2ccccc2)c1 ZINC000169935258
COCCOc1cncc(B(O)O)c1 ZINC000169935282
CC(C)(C)Oc1cc(B2OC(C)(C)C(C)(C)O2)ccn1 ZINC000169935361
CC1(C)OB(c2cccc(OCCCl)c2)OC1(C)C ZINC000169935451
CC1(C)OB(c2ccnc(OCc3ccccc3)c2)OC1(C)C ZINC000169935465
CC(C)(C)OC(=O)N1CCC(COc2cccc(B3OC(C)(C)C(C)(C)O3)c2)CC1 ZINC000169935547
COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1OC1CCN(C(=O)OC(C)(C)C)CC1 ZINC000169935935
COc1cc(B2OC(C)(C)C(C)(C)O2)cc(Cl)n1 ZINC000169935973
COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1[N+](=O)[O-] ZINC000169936000
CCOc1cc(B2OC(C)(C)C(C)(C)O2)cc(C(F)(F)F)n1 ZINC000169936094
CC(C)Oc1cc(B2OC(C)(C)C(C)(C)O2)cc(C(F)(F)F)n1 ZINC000169936099
COc1cc(SC)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169936349
COc1cc(B2OC(C)(C)C(C)(C)O2)cnc1Cl ZINC000169936354
COCOc1cc(Cl)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169936453
CCOc1ncc(B2OC(C)(C)C(C)(C)O2)cc1OCC(C)C ZINC000169936476
CC1(C)OB(c2cc(OCC3CCOCC3)cc(C(F)(F)F)c2)OC1(C)C ZINC000169936546
CC1(C)OB(c2cc(OC3CCOCC3)cc(C(F)(F)F)c2)OC1(C)C ZINC000169936552
CC1(C)OB(c2cc(OC[C@@H]3CCCCO3)cc(C(F)(F)F)c2)OC1(C)C ZINC000169936557
CC1(C)OB(c2cc(OC[C@H]3CCCCO3)cc(C(F)(F)F)c2)OC1(C)C ZINC000169936561
CC1(C)OB(c2cc(OCC3CC3)cc(C(F)(F)F)c2)OC1(C)C ZINC000169936565
COc1cc(B2OC(C)(C)C(C)(C)O2)cc(OC)c1OC ZINC000169936790
CC1(C)OB(c2cccc3c2OCO3)OC1(C)C ZINC000169936795
